detector,descriptor,keypoints,detector-duration,descriptor-duration,matches
shitomasi,freak,1322,7.15359,11.976,115
shitomasi,freak,1366,10.4274,12.2364,114
shitomasi,freak,1389,7.59026,12.3217,125
shitomasi,freak,1339,7.64265,11.9978,112
brisk,sift,2777,17.8537,24.1251,254
brisk,sift,2741,17.8152,25.8716,274
brisk,sift,2735,18.1386,24.8956,276
brisk,sift,2757,17.503,26.8754,275
brisk,sift,2695,19.4787,26.4033,293
brisk,sift,2715,17.9963,27.6666,275
brisk,sift,2628,17.7046,29.2016,289
brisk,sift,2639,18.1285,24.9593,268
brisk,sift,2672,17.7818,22.7837,260
orb,sift,500,2.92003,25.3496,91
orb,sift,500,5.27816,31.7492,102
orb,sift,500,8.03337,31.3357,106
orb,sift,500,4.82712,27.3552,113
orb,sift,500,8.40398,32.194,109
orb,sift,500,5.85344,32.3364,124
orb,sift,500,8.95238,33.4179,129
orb,sift,500,8.44966,32.8292,127
orb,sift,500,6.10952,29.9803,124
harris,orb,286,6.18376,0.437342,51
harris,orb,349,12.1957,0.947864,41
harris,orb,356,8.86374,0.55791,63
harris,orb,521,12.1032,0.765488,58
harris,orb,2611,35.7115,0.972122,85
harris,orb,200,11.6488,0.886216,322
harris,orb,806,26.7998,0.631866,38
harris,orb,572,11.2597,0.792031,136
harris,orb,1471,18.9634,0.929262,96
brisk,freak,2777,21.0442,17.7126,234
brisk,freak,2741,18.1296,14.0183,252
brisk,freak,2735,17.5394,12.6623,257
brisk,freak,2757,17.7313,12.8189,262
brisk,freak,2695,17.7777,12.9934,270
brisk,freak,2715,17.9435,12.9861,252
brisk,freak,2628,18.084,12.7701,269
brisk,freak,2639,17.7625,12.9035,251
brisk,freak,2672,17.5793,12.5223,237
fast,sift,4952,4.97902,31.1722,420
fast,sift,4863,2.23606,25.6536,431
fast,sift,4840,1.88078,23.6445,408
fast,sift,4856,2.28825,25.7526,430
fast,sift,4899,2.15684,24.5774,389
fast,sift,4870,2.21546,25.2578,417
fast,sift,4868,2.23187,24.8216,422
fast,sift,4996,2.50252,24.2089,413
fast,sift,4997,2.21854,23.9431,401
